#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
78,#,P10,,"Defense, Allow Paint Touch, Allow Middle, Allow UC 3",,,0:24.9,N/A,N/A,0:25.66,0:50.56,Live,,,,,"#02 Mari Somvichian, #24 Kayla Jones, #04 Allison Clarke, #11 Erica Finney, #08 Shanayka Ismar",,,
79,2,P10,,"Defense, Allow Paint Touch, Allow Middle",,,0:25.2,N/A,N/A,1:04.93,1:30.09,Live,,,,,"#55 Maya Hernandez, #03 Danae Powell, #13 Ivana Krajina, #06 Shawnee Nordstrom, #0 Sarah Deng",,,
80,@,P10,,Defense,,,0:21.0,N/A,N/A,2:13.38,2:34.40,Live,,,,,"#03 Danae Powell, #06 Shawnee Nordstrom, #13 Ivana Krajina, #0 Sarah Deng, #55 Maya Hernandez",,,
81,@,P10,,"Defense, Allow UC 3",,,0:10.8,0:00.1,0:10.9,0:00.01,0:10.93,Live,,,,,"#11 Erica Finney, #04 Allison Clarke, #08 Shanayka Ismar, #02 Mari Somvichian, #24 Kayla Jones",,,
82,0,P10,,Defense,,,0:20.5,N/A,N/A,0:18.19,0:38.70,Live,,,,,"#08 Shanayka Ismar, #11 Erica Finney, #04 Allison Clarke, #24 Kayla Jones, #02 Mari Somvichian",,,
83,9,P10,,Defense,,,0:26.5,N/A,N/A,3:54.26,4:20.79,Live,,,,,"#0 Sarah Deng, #03 Danae Powell, #06 Shawnee Nordstrom, #13 Ivana Krajina, #55 Maya Hernandez",,,
84,@,P10,,Defense,,,0:13.2,N/A,N/A,0:00.04,0:13.28,Live,,,,,"#11 Erica Finney, #24 Kayla Jones, #04 Allison Clarke, #08 Shanayka Ismar, #02 Mari Somvichian",,,
85,),P10,,"Defense, Whistle",,,0:16.5,N/A,N/A,0:42.26,0:58.72,Live,,,,,"#03 Danae Powell, #55 Maya Hernandez, #06 Shawnee Nordstrom, #13 Ivana Krajina, #0 Sarah Deng",,,
86,),P10,,"Defense, Whistle, Allow Paint Touch",,,0:14.8,N/A,N/A,1:54.95,2:09.75,Live,,,,,"#06 Shawnee Nordstrom, #03 Danae Powell, #13 Ivana Krajina, #0 Sarah Deng, #55 Maya Hernandez",,,
87,2,P10,hard for me to give paint touch to mari,"Defense, Allow Paint Touch",,,0:18.0,N/A,N/A,2:30.95,2:48.96,Live,,,,,"#02 Mari Somvichian, #24 Kayla Jones, #04 Allison Clarke, #08 Shanayka Ismar, #11 Erica Finney",,,
88,9,P10,,Defense,,,0:13.3,N/A,N/A,3:10.69,3:24.01,Live,,,,,"#08 Shanayka Ismar, #24 Kayla Jones, #04 Allison Clarke, #11 Erica Finney, #02 Mari Somvichian",,,
89,),P10,,"Offense, Whistle",,,0:20.2,N/A,N/A,0:03.01,0:23.23,Live,,,,,"#55 Maya Hernandez, #13 Ivana Krajina, #0 Sarah Deng, #03 Danae Powell, #06 Shawnee Nordstrom",,,
90,),P10,,"Offense, Whistle",,,0:28.1,N/A,N/A,0:58.82,1:26.90,Live,,,,,"#0 Sarah Deng, #06 Shawnee Nordstrom, #13 Ivana Krajina, #03 Danae Powell, #55 Maya Hernandez, Half-court",,,
91,),P10,,"Offense, Whistle",,,0:14.7,N/A,N/A,2:45.52,3:00.19,Live,,,,,"#06 Shawnee Nordstrom, #03 Danae Powell, #55 Maya Hernandez, #13 Ivana Krajina, #0 Sarah Deng, Half-court",,,
92,3,P10,,Offense,,,0:17.3,N/A,N/A,0:15.11,0:32.42,Live,,,,,"#06 Shawnee Nordstrom, #0 Sarah Deng, #13 Ivana Krajina, #55 Maya Hernandez, #03 Danae Powell, Half-court",,,
93,9,P10,,"Defense, Deflection",,,0:05.6,N/A,N/A,0:32.88,0:38.53,Live,,,,,"#06 Shawnee Nordstrom, #13 Ivana Krajina, #55 Maya Hernandez, #0 Sarah Deng, #03 Danae Powell",,,
94,2,P10,,Offense,,,0:10.9,N/A,N/A,0:36.08,0:46.99,Live,,,,,"#0 Sarah Deng, #03 Danae Powell, #06 Shawnee Nordstrom, #55 Maya Hernandez, #13 Ivana Krajina, Transition",,,
95,9,P10,,Defense,,,0:14.2,N/A,N/A,0:44.94,0:59.18,Live,,,,,"#06 Shawnee Nordstrom, #55 Maya Hernandez, #13 Ivana Krajina, #0 Sarah Deng, #03 Danae Powell",,,
96,#,P10,,Offense,,,0:18.9,N/A,N/A,0:57.36,1:16.22,Live,,,,,"#55 Maya Hernandez, #03 Danae Powell, #13 Ivana Krajina, #0 Sarah Deng, #06 Shawnee Nordstrom, Transition",,,
97,),P10,,"Defense, Whistle",,,0:13.2,N/A,0:13.2,1:14.02,1:27.99,Live,,,,,"#13 Ivana Krajina, #03 Danae Powell, #55 Maya Hernandez, #06 Shawnee Nordstrom, #0 Sarah Deng",,,
98,!-8-),P10,,"Defense, Allow O-Board",,,0:10.7,N/A,N/A,0:12.97,0:23.69,Live,,,,,"#02 Mari Somvichian, #08 Shanayka Ismar, #04 Allison Clarke, #11 Erica Finney, #24 Kayla Jones",,,
99,@,P10,,Offense,,,0:16.8,N/A,N/A,0:55.36,1:12.20,Live,,,,,"#04 Allison Clarke, #02 Mari Somvichian, #08 Shanayka Ismar, #11 Erica Finney, #24 Kayla Jones, Half-court",,,
100,),P10,,"Defense, Whistle",,,0:06.1,N/A,N/A,1:09.96,1:16.08,Live,,,,,"#08 Shanayka Ismar, #11 Erica Finney, #04 Allison Clarke, #24 Kayla Jones, #02 Mari Somvichian",,,
101,@,P10,,"Offense, Whistle",,,0:20.5,N/A,N/A,1:50.39,2:10.89,Live,,,,,"#02 Mari Somvichian, #04 Allison Clarke, #08 Shanayka Ismar, #11 Erica Finney, #24 Kayla Jones, Half-court",,,
102,2,P10,,Offense,,,0:14.2,N/A,N/A,2:20.32,2:34.50,Live,,,,,"#08 Shanayka Ismar, #11 Erica Finney, #02 Mari Somvichian, #24 Kayla Jones, #04 Allison Clarke, Half-court",,,
103,@,P10,,"Defense, Allow Paint Touch",,,0:23.5,N/A,N/A,2:34.50,2:58.02,Live,,,,,"#24 Kayla Jones, #08 Shanayka Ismar, #02 Mari Somvichian, #11 Erica Finney, #04 Allison Clarke",,,
104,),P10,,"Offense, Whistle",,,0:11.7,N/A,N/A,2:56.49,3:08.15,Live,,,,,"#04 Allison Clarke, #11 Erica Finney, #24 Kayla Jones, #02 Mari Somvichian, #08 Shanayka Ismar, Transition",,,
105,#-8-@,P10,,Offense,,,0:15.0,N/A,N/A,0:36.15,0:51.16,Live,,,,,"#24 Kayla Jones, #02 Mari Somvichian, #08 Shanayka Ismar, #04 Allison Clarke, #11 Erica Finney, Half-court",,,
106,),P10,,"Defense, Whistle",,,0:18.3,N/A,N/A,0:49.63,1:07.90,Live,,,,,"#08 Shanayka Ismar, #24 Kayla Jones, #04 Allison Clarke, #02 Mari Somvichian, #11 Erica Finney",,,
107,0,P10,,Offense,,,0:15.6,N/A,N/A,1:11.73,1:27.32,Live,,,,,"#02 Mari Somvichian, #04 Allison Clarke, #24 Kayla Jones, #11 Erica Finney, #08 Shanayka Ismar, Half-court",,,
108,1-1-1,P10,,Offense,,,0:35.4,N/A,N/A,1:34.72,2:10.12,Live,,,,,"#24 Kayla Jones, #02 Mari Somvichian, #08 Shanayka Ismar, #04 Allison Clarke, #11 Erica Finney",,,
109,9,P10,,Defense,,,0:07.0,N/A,N/A,2:08.76,2:15.79,Live,,,,,"#02 Mari Somvichian, #11 Erica Finney, #08 Shanayka Ismar, #04 Allison Clarke, #24 Kayla Jones",,,
110,@,P10,,Offense,,,0:08.1,N/A,N/A,2:13.85,2:21.93,Live,,,,,"#08 Shanayka Ismar, #11 Erica Finney, #02 Mari Somvichian, #04 Allison Clarke, #24 Kayla Jones, Transition",,,
111,2,P10,,Defense,,,0:16.8,N/A,N/A,2:20.16,2:36.93,Live,,,,,"#02 Mari Somvichian, #11 Erica Finney, #24 Kayla Jones, #08 Shanayka Ismar, #04 Allison Clarke",,,
