#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
119,),P7,,Offense,,,0:06.2,N/A,N/A,1:06.90,1:13.05,Live,,,,,"#11 Erica Finney, #13 Ivana Krajina, #55 Maya Hernandez, #04 Allison Clarke, Transition, #08 Shanayka Ismar",,,
120,),P7,,Offense,,,0:17.7,N/A,N/A,1:29.33,1:47.07,Live,,,,,"#04 Allison Clarke, #13 Ivana Krajina, Half-court, #08 Shanayka Ismar, #11 Erica Finney, #55 Maya Hernandez",,,
121,),P7,,Offense,,,0:11.1,N/A,N/A,2:26.88,2:38.02,Live,,,,,"#55 Maya Hernandez, Half-court, #11 Erica Finney, #13 Ivana Krajina, #08 Shanayka Ismar, #04 Allison Clarke",,,
122,#,P7,,Offense,,,0:17.8,N/A,N/A,3:27.32,3:45.14,Live,,,,,"#08 Shanayka Ismar, Half-court, #04 Allison Clarke, #13 Ivana Krajina, #55 Maya Hernandez, #11 Erica Finney",,,
123,),P7,,Defense,,,0:08.2,N/A,N/A,3:42.06,3:50.22,Live,,,,,"#13 Ivana Krajina, #55 Maya Hernandez, Transition, #11 Erica Finney, #04 Allison Clarke, #08 Shanayka Ismar",,,
124,9,P7,,"Defense, Deflection",,,0:27.4,N/A,N/A,4:41.35,5:08.77,Live,,,,,"#04 Allison Clarke, #55 Maya Hernandez, #11 Erica Finney, Transition, #13 Ivana Krajina, #08 Shanayka Ismar",,,
125,2,P7,,Offense,,,0:29.6,N/A,N/A,0:02.82,0:32.39,Live,,,,,"#03 Danae Powell, #07 Ana Milanovic, #24 Kayla Jones, #06 Shawnee Nordstrom, #02 Mari Somvichian, Half-court",,,
126,),P7,,"Defense, Allow Middle",,,0:12.7,N/A,N/A,0:30.49,0:43.17,Live,,,,,"Transition, #07 Ana Milanovic, #06 Shawnee Nordstrom, #02 Mari Somvichian, #03 Danae Powell, #24 Kayla Jones",,,
127,),P7,,Defense,,,0:12.7,N/A,N/A,1:13.52,1:26.20,Live,,,,,"Half-court, #06 Shawnee Nordstrom, #24 Kayla Jones, #02 Mari Somvichian, #07 Ana Milanovic, #03 Danae Powell",,,
128,9,P7,,Defense,,,0:17.1,N/A,N/A,2:15.88,2:32.99,Live,,,,,"#07 Ana Milanovic, #03 Danae Powell, #06 Shawnee Nordstrom, #24 Kayla Jones, #02 Mari Somvichian",,,
129,#,P7,,Offense,,,0:13.7,N/A,N/A,0:00.14,0:13.84,Live,,,,,"#03 Danae Powell, Half-court, #06 Shawnee Nordstrom, #24 Kayla Jones, #02 Mari Somvichian, #07 Ana Milanovic",,,
130,2,P7,,Defense,,,0:09.9,N/A,N/A,0:11.13,0:21.03,Live,,,,,"#07 Ana Milanovic, #03 Danae Powell, Transition, #24 Kayla Jones, #02 Mari Somvichian, #06 Shawnee Nordstrom",,,
131,),P7,,Offense,,,0:05.3,N/A,N/A,0:54.93,1:00.25,Live,,,,,"#0 Sarah Deng, #03 Danae Powell, #06 Shawnee Nordstrom, #13 Ivana Krajina, #55 Maya Hernandez",,,
132,9,P7,,Offense,,,0:10.5,N/A,N/A,1:23.53,1:34.06,Live,,,,,"#03 Danae Powell, #13 Ivana Krajina, #55 Maya Hernandez, #0 Sarah Deng, #06 Shawnee Nordstrom, Transition",,,
133,#-8-2,P7,,Offense,,,0:34.2,N/A,N/A,2:12.08,2:46.33,Live,,,,,"#03 Danae Powell, #0 Sarah Deng, #13 Ivana Krajina, #06 Shawnee Nordstrom, Half-court, #55 Maya Hernandez",,,
134,0-!-1,P7,,"Defense, Allow Paint Touch",,,0:28.7,N/A,N/A,2:41.59,3:10.29,Live,,,,,"#03 Danae Powell, #06 Shawnee Nordstrom, #13 Ivana Krajina, #55 Maya Hernandez, #0 Sarah Deng, Half-court",,,
135,9,P7,,Offense,,,0:05.6,N/A,N/A,3:33.30,3:38.88,Live,,,,,"#13 Ivana Krajina, Transition, #0 Sarah Deng, #55 Maya Hernandez, #03 Danae Powell, #06 Shawnee Nordstrom",,,
136,9,P7,,Defense,,,0:14.9,N/A,N/A,3:35.65,3:50.55,Live,,,,,"#0 Sarah Deng, #06 Shawnee Nordstrom, #55 Maya Hernandez, Transition, #03 Danae Powell, #13 Ivana Krajina",,,
137,2,P7,,Offense,,,0:12.4,N/A,N/A,4:26.33,4:38.69,Live,,,,,"#08 Shanayka Ismar, #11 Erica Finney, #55 Maya Hernandez, #04 Allison Clarke, #13 Ivana Krajina",,,
138,9,P7,,Defense,,,0:18.3,N/A,N/A,4:33.82,4:52.12,Live,,,,,"#55 Maya Hernandez, #04 Allison Clarke, #08 Shanayka Ismar, #11 Erica Finney, #13 Ivana Krajina",,,
139,2,P7,,Offense,,,0:17.2,N/A,N/A,4:51.09,5:08.29,Live,,,,,"#11 Erica Finney, #55 Maya Hernandez, #04 Allison Clarke, #08 Shanayka Ismar, Half-court, #13 Ivana Krajina",,,
140,3,P7,,"Defense, Allow Middle, Allow UC 3",,,0:16.0,N/A,N/A,5:04.42,5:20.46,Live,,,,,"#08 Shanayka Ismar, #11 Erica Finney, #55 Maya Hernandez, #13 Ivana Krajina, #04 Allison Clarke",,,
141,2,P7,,Offense,,,0:13.1,N/A,N/A,5:20.46,5:33.59,Live,,,,,"#04 Allison Clarke, #11 Erica Finney, Transition, #08 Shanayka Ismar, #55 Maya Hernandez, #13 Ivana Krajina",,,
142,2,P7,,"Defense, Allow Middle, Allow Paint Touch",,,0:17.0,N/A,N/A,5:33.59,5:50.59,Live,,,,,"#08 Shanayka Ismar, #04 Allison Clarke, #13 Ivana Krajina, #55 Maya Hernandez, #11 Erica Finney",,,
143,3,P7,,Offense,,,0:15.3,N/A,N/A,0:08.29,0:23.59,Live,,,,,"#02 Mari Somvichian, #06 Shawnee Nordstrom, #0 Sarah Deng, Transition, #07 Ana Milanovic, #24 Kayla Jones",,,
144,3,P7,,"Defense, Allow UC 3",,,0:19.1,N/A,N/A,0:23.59,0:42.70,Live,,,,,"#0 Sarah Deng, #24 Kayla Jones, #07 Ana Milanovic, #02 Mari Somvichian, #06 Shawnee Nordstrom",,,
145,#,P7,,Offense,,,0:22.5,N/A,N/A,0:42.70,1:05.22,Live,,,,,"#0 Sarah Deng, #02 Mari Somvichian, #06 Shawnee Nordstrom, #24 Kayla Jones, #07 Ana Milanovic",,,
146,9,P7,,Defense,,,0:06.4,N/A,N/A,1:05.22,1:11.63,Live,,,,,"#06 Shawnee Nordstrom, #07 Ana Milanovic, #02 Mari Somvichian, #0 Sarah Deng, #24 Kayla Jones",,,
147,3,P7,,Offense,,,0:10.3,N/A,N/A,1:11.63,1:21.96,Live,,,,,"#24 Kayla Jones, #07 Ana Milanovic, #06 Shawnee Nordstrom, Transition, #0 Sarah Deng, #02 Mari Somvichian",,,
148,9,P7,,"Defense, Allow Middle",,,0:13.5,N/A,N/A,1:21.96,1:35.46,Live,,,,,"#0 Sarah Deng, #24 Kayla Jones, #06 Shawnee Nordstrom, #07 Ana Milanovic, #02 Mari Somvichian",,,
149,#,P8,,Offense,,,0:20.3,N/A,N/A,0:39.15,0:59.44,Live,,,,,"#11 Erica Finney, Half-court, #55 Maya Hernandez, #0 Sarah Deng, #06 Shawnee Nordstrom, #24 Kayla Jones",,,
150,9,P8,,Defense,,,0:10.8,N/A,N/A,0:58.99,1:09.83,Live,,,,,"#11 Erica Finney, #06 Shawnee Nordstrom, #55 Maya Hernandez, #0 Sarah Deng, #24 Kayla Jones",,,
151,),P8,,Offense,,,0:09.7,N/A,N/A,1:32.72,1:42.42,Live,,,,,"#13 Ivana Krajina, #07 Ana Milanovic, #08 Shanayka Ismar, #03 Danae Powell, Half-court, #04 Allison Clarke",,,
152,9,P8,,Offense,,,0:16.2,N/A,N/A,2:09.06,2:25.29,Live,,,,,"#03 Danae Powell, Half-court, #04 Allison Clarke, #08 Shanayka Ismar, #07 Ana Milanovic, #13 Ivana Krajina",,,
153,2,P8,,"Defense, Allow Paint Touch",,,0:09.2,N/A,N/A,2:24.25,2:33.46,Live,,,,,"#07 Ana Milanovic, #03 Danae Powell, #08 Shanayka Ismar, #13 Ivana Krajina, #04 Allison Clarke",,,
154,@-8-@,P8,,Offense,,,0:30.4,N/A,N/A,2:32.33,3:02.70,Live,,,,,"#07 Ana Milanovic, #13 Ivana Krajina, #03 Danae Powell, #04 Allison Clarke, #3 Danae Powell, #08 Shanayka Ismar",,,
155,@-8-@,P8,,Offense,,,0:31.7,N/A,N/A,2:32.83,3:04.50,Live,,,,,"#08 Shanayka Ismar, #04 Allison Clarke, Transition, #13 Ivana Krajina, #03 Danae Powell, #07 Ana Milanovic",,,
156,#-8-3,P8,,Offense,,,0:23.9,N/A,N/A,0:06.55,0:30.49,Live,,,,,"#55 Maya Hernandez, Half-court, #24 Kayla Jones, #0 Sarah Deng, #11 Erica Finney, #06 Shawnee Nordstrom",,,
157,3,P8,,"Defense, Allow UC 3",,,0:15.9,N/A,N/A,0:29.65,0:45.52,Live,,,,,"#24 Kayla Jones, #55 Maya Hernandez, #0 Sarah Deng, #06 Shawnee Nordstrom, #11 Erica Finney",,,
158,),P8,,Offense,,,0:08.1,N/A,N/A,0:55.69,1:03.82,Live,,,,,"#06 Shawnee Nordstrom, #24 Kayla Jones, #0 Sarah Deng, Half-court, #55 Maya Hernandez, #11 Erica Finney",,,
159,#,P8,,Offense,,,0:19.2,N/A,N/A,1:08.22,1:27.39,Live,,,,,"#0 Sarah Deng, #55 Maya Hernandez, Half-court, #24 Kayla Jones, #06 Shawnee Nordstrom, #11 Erica Finney",,,
160,),P8,,"Defense, Allow UC 3",,,0:11.7,N/A,N/A,1:24.69,1:36.36,Live,,,,,"#06 Shawnee Nordstrom, #11 Erica Finney, #55 Maya Hernandez, #0 Sarah Deng, #24 Kayla Jones",,,
161,9,P8,,Offense,,,0:10.3,N/A,N/A,2:48.45,2:58.76,Live,,,,,"#0 Sarah Deng, #24 Kayla Jones, #06 Shawnee Nordstrom, #55 Maya Hernandez, Half-court, #11 Erica Finney",,,
162,0-1-!,P8,,Defense,,,0:04.6,N/A,N/A,2:56.02,3:00.63,Live,,,,,"#06 Shawnee Nordstrom, #24 Kayla Jones, #55 Maya Hernandez, #11 Erica Finney, #0 Sarah Deng",,,
163,2,P8,,Offense,,,0:20.3,N/A,N/A,3:17.80,3:38.09,Live,,,,,"#08 Shanayka Ismar, #04 Allison Clarke, #13 Ivana Krajina, #02 Mari Somvichian, #07 Ana Milanovic, Half-court",,,
164,@-8-@-8-2,P8,,Offense,,,0:21.9,N/A,N/A,3:48.40,4:10.26,Live,,,,,"#24 Kayla Jones, Half-court, #0 Sarah Deng, #11 Erica Finney, #06 Shawnee Nordstrom, #55 Maya Hernandez",,,
165,9,P8,,"Defense, Deflection",,,0:08.1,N/A,N/A,4:10.26,4:18.32,Live,,,,,"#0 Sarah Deng, #55 Maya Hernandez, #06 Shawnee Nordstrom, #24 Kayla Jones, #11 Erica Finney",,,
166,@,P8,,Offense,,,0:14.7,N/A,N/A,4:15.22,4:29.93,Live,,,,,"#55 Maya Hernandez, #0 Sarah Deng, #06 Shawnee Nordstrom, #24 Kayla Jones, #11 Erica Finney, Transition",,,
167,@-8-#-8-9,P8,,Offense,,,0:47.7,N/A,N/A,0:53.49,1:41.20,Live,,,,,"#04 Allison Clarke, Half-court, #07 Ana Milanovic, #03 Danae Powell, #08 Shanayka Ismar, #13 Ivana Krajina",,,
168,),P8,,Offense,,,0:12.0,N/A,N/A,1:47.82,1:59.86,Live,,,,,"#06 Shawnee Nordstrom, #11 Erica Finney, Half-court, #0 Sarah Deng, #55 Maya Hernandez, #24 Kayla Jones",,,
169,@,P8,,Offense,,,0:12.6,N/A,N/A,0:28.73,0:41.33,Live,,,,,"#11 Erica Finney, #06 Shawnee Nordstrom, #24 Kayla Jones, #55 Maya Hernandez, Half-court, #0 Sarah Deng",,,
170,#,P8,,Offense,,,0:19.3,N/A,N/A,0:46.91,1:06.25,Live,,,,,"#04 Allison Clarke, #02 Mari Somvichian, Half-court, #13 Ivana Krajina, #07 Ana Milanovic, #08 Shanayka Ismar",,,
171,2,P8,,"Defense, Allow Paint Touch",,,0:06.7,N/A,N/A,1:05.79,1:12.47,Live,,,,,"#07 Ana Milanovic, #08 Shanayka Ismar, #13 Ivana Krajina, #04 Allison Clarke, #02 Mari Somvichian",,,
172,2,P8,,Offense,,,0:24.8,N/A,N/A,1:40.83,2:05.63,Live,,,,,"#55 Maya Hernandez, #04 Allison Clarke, #06 Shawnee Nordstrom, #13 Ivana Krajina, #0 Sarah Deng, Half-court",,,
173,9,P8,,"Defense, Deflection",,,0:16.3,N/A,N/A,2:05.63,2:21.90,Live,,,,,"#55 Maya Hernandez, #04 Allison Clarke, #13 Ivana Krajina, #06 Shawnee Nordstrom, #0 Sarah Deng",,,
174,3,P8,,Offense,,,0:16.4,N/A,N/A,2:31.82,2:48.20,Live,,,,,"#0 Sarah Deng, #13 Ivana Krajina, #06 Shawnee Nordstrom, #04 Allison Clarke, #55 Maya Hernandez",,,
175,),P8,,Defense,,,0:06.8,N/A,N/A,2:48.20,2:54.95,Live,,,,,"#55 Maya Hernandez, #04 Allison Clarke, #13 Ivana Krajina, #0 Sarah Deng, #06 Shawnee Nordstrom",,,
176,@,P8,,Offense,,,0:20.8,N/A,N/A,4:55.03,5:15.82,Live,,,,,"#24 Kayla Jones, Half-court, #08 Shanayka Ismar, #55 Maya Hernandez, #0 Sarah Deng, #04 Allison Clarke",,,
177,2,P8,,Offense,,,0:31.7,N/A,N/A,0:39.26,1:11.00,Live,,,,,"Half-court, #0 Sarah Deng, #08 Shanayka Ismar, #24 Kayla Jones, #04 Allison Clarke, #55 Maya Hernandez",,,
178,9,P8,,Offense,,,0:06.7,N/A,N/A,2:20.66,2:27.38,Live,,,,,"#04 Allison Clarke, #08 Shanayka Ismar, #55 Maya Hernandez, #0 Sarah Deng, Half-court, #24 Kayla Jones",,,
179,3,P8,,"Defense, Allow Middle",,,0:11.2,N/A,N/A,2:26.45,2:37.65,Live,,,,,"#04 Allison Clarke, #55 Maya Hernandez, #24 Kayla Jones, #08 Shanayka Ismar, #0 Sarah Deng",,,
180,3,P8,,Offense,,,0:16.5,N/A,N/A,3:19.39,3:35.92,Live,,,,,"#11 Erica Finney, Half-court, #06 Shawnee Nordstrom, #07 Ana Milanovic, #13 Ivana Krajina, #02 Mari Somvichian",,,
181,9,P8,,Defense,,,0:07.3,N/A,N/A,3:35.04,3:42.36,Live,,,,,"#06 Shawnee Nordstrom, #13 Ivana Krajina, #02 Mari Somvichian, #07 Ana Milanovic, #11 Erica Finney",,,
182,2,P8,,Defense,,,0:09.7,N/A,N/A,3:59.39,4:09.06,Live,,,,,"#02 Mari Somvichian, #11 Erica Finney, #06 Shawnee Nordstrom, #07 Ana Milanovic, #13 Ivana Krajina",,,
183,@,P8,,"Defense, Allow Middle, Allow Paint Touch",,,0:13.3,N/A,N/A,4:20.79,4:34.12,Live,,,,,"#11 Erica Finney, #13 Ivana Krajina, #06 Shawnee Nordstrom, #02 Mari Somvichian, #07 Ana Milanovic",,,
184,9,P8,,Defense,,,0:17.0,N/A,N/A,5:07.26,5:24.26,Live,,,,,"#04 Allison Clarke, #24 Kayla Jones, #0 Sarah Deng, #08 Shanayka Ismar, #55 Maya Hernandez",,,
185,2,P8,,Offense,,,0:09.8,N/A,N/A,5:20.91,5:30.70,Live,,,,,"#24 Kayla Jones, #08 Shanayka Ismar, #55 Maya Hernandez, #0 Sarah Deng, #04 Allison Clarke, Transition",,,
186,2,P8,,Defense,,,0:09.4,N/A,N/A,5:30.37,5:39.73,Live,,,,,"#08 Shanayka Ismar, #0 Sarah Deng, #24 Kayla Jones, #04 Allison Clarke, #55 Maya Hernandez",,,
187,0-2-1,P8,,"Defense, Allow Paint Touch",,,0:15.1,N/A,N/A,0:22.82,0:37.93,Live,,,,,"#55 Maya Hernandez, #0 Sarah Deng, #08 Shanayka Ismar, #04 Allison Clarke, #24 Kayla Jones",,,
